item_id,Brand Name,Generic Name,Category
ITM_6916,Adempas,riociguat 1 MG Oral Tablet,Other
ITM_6917,Adempas,riociguat 1.5 MG Oral Tablet,Other
ITM_6918,Adempas,riociguat 2 MG Oral Tablet,Other
ITM_6919,Adempas,riociguat 2.5 MG Oral Tablet,Other
ITM_6920,Absorbine,menthol 0.065 MG/MG Medicated Patch,Other
ITM_6921,Lagicam,miconazole Vaginal Cream,Skin/Topical
ITM_6922,Lagicam,miconazole nitrate 40 MG/ML Vaginal Cream,Skin/Topical
ITM_6923,Urimar Reformulated Oct 2013,"hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium phosphate, monobasic Oral Tablet",Other
ITM_6924,Urimar Reformulated Oct 2013,"hyoscyamine sulfate 0.12 MG / methenamine 120 MG / methylene blue 10.8 MG / phenyl salicylate 36.2 MG / sodium phosphate, monobasic 40.8 MG Oral Tablet",Other
ITM_6925,Proctozone HC,hydrocortisone Topical Cream,Skin/Topical
ITM_6926,Proctozone HC,hydrocortisone 25 MG/ML Topical Cream,Skin/Topical
ITM_6927,Otrexup,0.4 ML methotrexate 25 MG/ML Auto-Injector,Other
ITM_6928,Otrexup,0.4 ML methotrexate 37.5 MG/ML Auto-Injector,Other
ITM_6929,Otrexup,0.4 ML methotrexate 50 MG/ML Auto-Injector,Other
